Address	Arkham - Entity	Arkham - Twitter	Arkham - Tags
0xa39e024e30a5937b1276b6a9f0da001c7ea1f8fd			Tokenized ETH2 Staker
0xc57ea958e33dc87c7c7951774bab9221346ba26f			Contract Deployer, Early JEWEL Holder, Contract Deployer, ERC20 Token Deployer, Contract Deployer, ERC20 Token Deployer, Tokenized ETH2 Staker, Contract Deployer
0x6673fb2f5623ee698dac5e71602bac9c2a71a87e			OpenSea User, Input Data Messenger, Early AUC Holder, Early ABT Holder, Early NKN Holder, Early OLT Holder
0x402904e954aebee2e78b7b09595393cf05571333			Tokenized ETH2 Staker, Contract Deployer, Uniswap V3 Pool Deployer, Snapshot Delegator to 0xde1E6A7ED0ad3F61D531a8a78E83CcDdbd6E0c49, Tokenized ETH2 Staker
0xdb961f837cb26ada0fbebaa8eb733e7a4f646e0d			Contract Deployer, Tokenized ETH2 Staker
0x5476fbb78d2087c7d654cfc946020481d6dc7f30			Tokenized ETH2 Staker
0x7bfee91193d9df2ac0bfe90191d40f23c773c060	@punk2498_	https://twitter.com/punk2498_	Individual, Contract Deployer, ERC20 Token Deployer, ERC721 Token Deployer, Early STG Holder, Early BETS Holder, Early TIG Holder, PL Arb Grants Safety Governance Delegator, Arbitrum Core Governance Voter, Questbook ARB DAO GRANTS Governance Delegator, Arbitrum Treasury Governance Voter, Arbitrum Treasury Governance Delegator, Arbitrum Core Governance Delegator, Individual, Contract Deployer, ERC20 Token Deployer, Early BETS Holder, Early SB Holder, Early OLIVE Holder, Early SNOB Holder, Early YAK Holder, Early PEFI Holder, Early QI Holder, Early ACRE Holder, Individual, Contract Deployer, ERC721 Token Deployer, ERC20 Token Deployer, Early DUDE Holder, Individual, Contract Deployer, ERC20 Token Deployer, Early BETS Holder, Early ICE Holder, Early WSG Holder, Early ALPACA Holder, Early EPS Holder, Early STG Holder, Individual, "an0n_2498" on OpenSea, 7bfee.eth, Input Data Messenger, ERC20 Token Deployer, Tornado Cash Recipient, MultiSig Deployer, Uniswap V2 Pool Deployer, Uniswap V1 Pool Deployer, SushiSwap V2 Pool Deployer, Balancer BPool Deployer, Contract Deployer, btc6.eth Owner, kouru.eth Owner, 73953.eth Owner, forev.eth Owner, 52926.eth Owner, 457b.eth Owner, 63382.eth Owner, 79472.eth Owner, 1812.eth Owner, 81557.eth Owner, 31729.eth Owner, 45471.eth Owner, 87381.eth Owner, 7bfee.eth Owner, 34717.eth Owner, 93829.eth Owner, 86812.eth Owner, 34093.eth Prev. Manager, 38954.eth Owner, 77173.eth Owner, 44213.eth Owner, 31226.eth Owner, 34093.eth Owner, 47043.eth Owner, 68492.eth Owner, 39379.eth Owner, Early BAL Holder, Early INJ Holder, Early OPIUM Holder, Early EDEN Holder, Early BDP Holder, Early UNI Holder, Early SFI Holder, Early GAMMA Holder, Early KP3R Holder, Early SNX Holder, Early STETH Holder, Early ALCX Holder, Early PSP Holder, Early ALUSD Holder, Early PUSH Holder, Early GRAI Holder, Early SUDO Holder, Early AAVE Holder, Early TRIBE Holder, Early CVX Holder, Early CLINK Holder, Early BALPHA Holder, Early DIGG Holder, Early NEWO Holder, Early MINT Holder, Early LUA Holder, Early SPELL Holder, Early UMB Holder, Early XPERP Holder, Early STRDY Holder, Early SWM Holder, Early MKUSD Holder, Early DOLA Holder, Early EROWAN Holder, Early DBR Holder, Early TURBO Holder, Early MLN Holder, Early APX Holder, Early DAI Holder, Early FRAX Holder, Early ROOK Holder, Early VSP Holder, Early BAC Holder, Early RBN Holder, Early GRT Holder, Early ONC Holder, Early PENDLE Holder, Early SDT Holder, Early KEEP Holder, Early PEPE Holder, Early 1INCH Holder, Early STG Holder, Early MTA Holder, Early CRV Holder, Early PSDN Holder, Early DXD Holder, Early OCEAN Holder, Early BADGER Holder, Compound Governance Delegator, Uniswap Governance Delegator, sudoswap DAO Governance Delegator, Euler Finance Governance Delegator, YAM.finance Governance Delegator, Indexed Finance Governance Delegator, Snapshot Delegator to 0xde1E6A7ED0ad3F61D531a8a78E83CcDdbd6E0c49, sudoswap DAO Governance Voter, Aave Governance Voter, BLUR Airdrop Recipient, Tokenized ETH2 Staker, Individual, Individual, Contract Deployer, ERC721 Token Deployer, ERC20 Token Deployer, Individual, Contract Deployer, ERC20 Token Deployer, Individual, Contract Deployer, ERC721 Token Deployer, ERC20 Token Deployer, Early SONNE Holder, Early STG Holder, Optimism Governance Delegator, Optimism Governance Voter, Tokenized ETH2 Staker, Individual, Contract Deployer, ERC20 Token Deployer, Early BETS Holder, Early STG Holder, Early ALPHA Holder, Early KEK Holder, Early FUD Holder, Early FOMO Holder
0x9258bf432db17ed615bdf2dd185c278497875089			Tokenized ETH2 Staker
0x6e697eff642e3c39623d31a7f5e46f2ca6a3487c			"SteakMediumRare" on OpenSea, Tokenized ETH2 Staker
0x39b847db22470d654a084f80f78cbefbe785ba8f			Tokenized ETH2 Staker
0x17e9ffea74fdc26848b7cb15da018e5dcfae92c9			
0x8e32736429d2f0a39179214c826deef5b8a37861			Early SB Holder, Contract Deployer, Early TOSHI Holder, Early ELONRWA Holder, Early DUDE Holder, OpenSea User, kingoflemons.eth, Contract Deployer, Input Data Messenger, kingoflemons.eth Owner, Early ARC Holder, Tokenized ETH2 Staker, Contract Deployer, Contract Deployer, ERC721 Token Deployer, Optimism Governance Delegator
0xc360bc38845e4ba72202cc1f26a739e50039a479			MultiSig Deployer, Contract Deployer, Contract Deployer, MultiSig Deployer
0xd2d70bda86d2c2a74a63a5229f01b70669f34988			Early ACRE Holder, "DontbuyNFT" on OpenSea, Contract Deployer, 生日快乐.eth Manager, j❤k.eth Owner, j❤k.eth Manager, 生日快乐.eth Owner, Early ENS Holder, Tokenized ETH2 Staker, Contract Deployer, ERC20 Token Deployer, Early KITE Holder
0x7e9296f2ecf0a83e7a648e5fa6c30fce529bebf9			OpenSea User, Contract Deployer, Early MPL Holder, Early BDP Holder, Early BALPHA Holder, Early EDEN Holder, Early HOP Holder, Early SILO Holder, Tokenized ETH2 Staker
0xaaf6ba11d4a0e3812e76f97ee0149271c33ae1e5			Contract Deployer, ERC721 Token Deployer, Contract Deployer, Contract Deployer, PancakeSwap V3 Pool Deployer, OpenSea User, Contract Deployer, Early HOP Holder, Early RBX Holder, Tokenized ETH2 Staker, Contract Deployer
0x8baf8cafcf8e3796a8e435a398af46ee995c4564			
0x0cf4b39f4b2092d7b4a032b7b08c1136df2b08a1			Contract Deployer, Uniswap V3 Pool Deployer, Contract Deployer, ERC721 Token Deployer
0x6981378e696b0dd0e585d4d519c98b8a2c5bc020	DeFi Money Market	https://twitter.com/DMMDAO	Contract Deployer, Contract Deployer, Early EPS Holder, Early WATCH Holder, Early KALM Holder, Early ALPACA Holder, Early WSG Holder, Early MOOO Holder, Early SCRL Holder, Early STG Holder, Early ICE Holder, Early BURGER Holder, Early BELT Holder, Early BANANA Holder, "wenmooncx" on OpenSea, Contract Deployer, jedric.eth Prev. Owner, jedric.eth Prev. Manager, Early ARMOR Holder, Early FVT Holder, Early HEMULE Holder, Early VIRTUAL Holder, Early XTK Holder, Early DFP2 Holder, Early ENS Holder, Early UNI Holder, Early CHAIN Holder, Early BNSD Holder, Early MFT Holder, Early SWRV Holder, Early UDO Holder, Early BADGER Holder, Early FXS Holder, Early SUSHI Holder, Early RAIL Holder, Early SRM Holder, Early SASHIMI Holder, Early LUSD Holder, Early ICE Holder, Early DEC Holder, Early LAYER Holder, Early COFI Holder, Early BAC Holder, Early GEEQ Holder, Early NEXO Holder, Early ESS Holder, Early LQTY Holder, Early FRAX Holder, Early GOF Holder, Early FARM Holder, Early STG Holder, Early CRV Holder, Early PNL Holder, Early HAKA Holder, Early CREAM Holder, Early X2Y2 Holder, Early PICKLE Holder, Early O3 Holder, Early YFII Holder, Early CONV Holder, Early BDP Holder, Early KONO Holder, Early GAS Holder, Early LIEN Holder, Early PLOT Holder, Early RFUEL Holder, Early DDOS Holder, Early OLT Holder, Early DORA Holder, Early ALD Holder, Early UFT Holder, Early LINA Holder, Early SAKE Holder, Early TRIBE Holder, Early YFI Holder, Early MUSE Holder, Early IOTX Holder, Early BALPHA Holder, Early TRADE Holder, Early SOS Holder, Early 1INCH Holder, Early GRT Holder, Early PERI Holder, Early EBOX Holder, Early DUCK Holder, Early MINT Holder, Tokenized ETH2 Staker, Contract Deployer, Contract Deployer, Early BCT Holder, Early DINO Holder
