Address	Arkham - Entity	Arkham - Twitter	Arkham - Tags
0x43594da5d6a03b2137a04df5685805c676def7cb			OpenSea User, Contract Deployer, Tokenized ETH2 Staker
0x205194d171c74e9efa3ca53a0f78e48472cac621			
0x3924a9a1706285f5e92486dc19945e43fb2f98cf	Kelp DAO	https://twitter.com/KelpDAO	Tokenized ETH2 Staker
0x730a5e2acebccaa5e9095723b3cb862739da793c	Pendle Finance	https://twitter.com/pendle_fi	Yield, Yield, Yield, Yield, Yield, ERC20 Token, SY Kelp rsETH (SY-RSETH), Tokenized ETH2 Staker, Yield, Yield, Yield, Yield, Yield
0xc5c75caf067ae899a7ec10b86b5ab38c13879388			MultiSig / Contract Wallet, Gnosis Proxy, Tokenized ETH2 Staker
0xf081470f5c6fbccf48cc4e5b82dd926409dcdd67	Kyber Network	https://twitter.com/KyberNetwork	Decentralized Exchange, Tokenized ETH2 Staker, Decentralized Exchange, Decentralized Exchange, Decentralized Exchange, Decentralized Exchange, Tokenized ETH2 Staker, Decentralized Exchange, Decentralized Exchange, Decentralized Exchange, Decentralized Exchange, Tokenized ETH2 Staker, Decentralized Exchange, Tokenized ETH2 Staker
0xa0f75491720835b36edc92d06ddc468d201e9b73	Winslow Strong	https://twitter.com/winslow_strong	Individual, Contract Deployer, MultiSig Deployer, Individual, Early ACRE Holder, Individual, Individual, Early EPS Holder, Early RAVEN Holder, Early WSG Holder, Individual, analytico.eth, OpenSea User, Balancer BPool Deployer, MultiSig Deployer, Contract Deployer, Tornado Cash Recipient, ERC20 Token Deployer, analytico.eth Owner, analytico.eth Manager, Early SAKE Holder, Early YFII Holder, Early GAS Holder, Ukraine Donations Donor, Early 1INCH Holder, Early PSP Holder, Early XSUSHI Holder, Early DG Holder, Early UNI Holder, Early LUSD Holder, Early SWISE Holder, Early BADGER Holder, Early LQTY Holder, Early K21 Holder, Early VALUE Holder, Early CRV Holder, Early GEAR Holder, Early DODO Holder, Early SASHIMI Holder, Early BAC Holder, Early SUSD Holder, Early SNX Holder, Early RAIL Holder, Early YFI Holder, Early SDT Holder, Early SUSHI Holder, Early BAL Holder, Early SWRV Holder, Early CVX Holder, Early VSP Holder, Early APY Holder, Early ARMOR Holder, Early YFL Holder, Early BZRX Holder, Early DIGG Holder, Snapshot Delegator to 0xde1E6A7ED0ad3F61D531a8a78E83CcDdbd6E0c49, Compound Governance Delegator, YAM.finance Governance Delegator, Ease DeFi Governance Delegator, Snapshot Delegator to 0x947B7742C403f20e5FaCcDAc5E092C943E7D0277, Snapshot Delegator to 0x535CFAD39c3d122A73616274869854EAAb5bFC6a, Snapshot Delegator to 0x14F83fF95D4Ec5E8812DDf42DA1232b0ba1015e6, Tokenized ETH2 Staker, Individual, Individual, Individual, Individual, Optimism Governance Delegator, Individual
0x7aad74b7f0d60d5867b59dbd377a71783425af47	Kelp DAO	https://twitter.com/KelpDAO	Liquid Staking, MultiSig Deployer, Contract Deployer, Liquid Staking, Liquid Staking, Contract Deployer, MultiSig Deployer, Liquid Staking, Contract Deployer, MultiSig Deployer, Liquid Staking, Contract Deployer, Uniswap V3 Pool Deployer, MultiSig Deployer, ERC20 Token Deployer, Tokenized ETH2 Staker, Liquid Staking, Liquid Staking, Liquid Staking, Contract Deployer, MultiSig Deployer, Liquid Staking, Contract Deployer, MultiSig Deployer, Liquid Staking
0xb1311bf8de6cb3dccac85f83d440a2adb27a496c			Tokenized ETH2 Staker
0x22162dbba43fe0477cdc5234e248264ec7c6ea7c			Tokenized ETH2 Staker
0x43fc188f003e444e9e538189fc675acdfb8f5d12	Nexo	https://twitter.com/Nexo	Lending (Centralized), Lending (Centralized), Lending (Centralized), Lending (Centralized), Lending (Centralized), Contract Deployer, Tokenized ETH2 Staker, Lending (Centralized), Lending (Centralized), Lending (Centralized), Lending (Centralized), Lending (Centralized)
0x171c53d55b1bcb725f660677d9e8bad7fd084282			Contract Deployer, Tokenized ETH2 Staker
0x0f1dfef1a40557d279d0de6e49ab306891a638b8	Abraxas Capital Mgmt (Heka Funds)		Fund, Fund, Fund, Fund, Fund, Contract Deployer, Tokenized ETH2 Staker, Fund, Fund, Fund, Fund, Fund
0x8a25d8c9fa8c7a726137f2d618d85cbc2c083f78			Contract Deployer, MultiSig Deployer, MultiSig Deployer, Contract Deployer, Tokenized ETH2 Staker
0x8a05d886aaa096652506f0207df13d16ba6f032a			sigewinne.eth, sigewinne.eth Owner, Tokenized ETH2 Staker
0x0307d79487666630ab4d1d958278bcad1172fa14			
0xf50fa91cd7f63c94b4308e50676d2e9247cbb8a4			
0xd6dc7b9f6352a8bdbc4aaf30de4721c0531188a2			MultiSig / Contract Wallet, Gnosis Proxy, Tokenized ETH2 Staker
0x46431830631847781ebdfbfa33de2a058e138203			MultiSig / Contract Wallet, Gnosis Proxy
0x9026a229b535ecf0162dfe48fdeb3c75f7b2a7ae	Shixing Mao (DiscusFish)	https://twitter.com/bitfish1	OpenSea User, czsamsunsb.eth, MultiSig Deployer, Contract Deployer, czsamsunsb.eth Owner, czsamsun.eth Manager, czsamsun.eth Owner, czsamsunsb.eth Manager, nftold.eth Manager, nftold.eth Owner, Early LSD Holder, Early STRDY Holder, Early MKUSD Holder, Euler Finance Governance Delegator, Tokenized ETH2 Staker
0xdafca7a5e3b67b8f36c1fdd7691ed85bbb54cc18			MultiSig / Contract Wallet, Early BLUSD Holder, Gnosis Proxy, Snapshot Delegator to 0xfC61049029239f9E71BbD948df5Bb287aa2fa956, Snapshot Delegator to 0x6F2D01c820a9daf11a5Be0ba77b41E5035e57099, Tokenized ETH2 Staker, MultiSig / Contract Wallet, Gnosis Proxy
0x3e8734ec146c981e3ed1f6b582d447dde701d90c			Early THO Holder, Contract Deployer, Early SANTOS Holder, Early BITORB Holder, Early YDR Holder, Early UNW Holder, Early CSWAP Holder, Early ALPHA Holder, Early TSX Holder, Early ORO Holder, Early SWAPZ Holder, Early WAG Holder, Early GQ Holder, Early QMALL Holder, Early XPNET Holder, Early KALM Holder, Early LEV Holder, Early CAKE Holder, Early AIOZ Holder, Early WMX Holder, Early BSCS Holder, Early TKO Holder, Early ETHPAD Holder, Early BRY Holder, Early HOTCROSS Holder, Early INJ Holder, Early XVS Holder, Early METAV Holder, Early WATCH Holder, Early HAPPY Holder, Early TWT Holder, Early TRONPAD Holder, Early ASTRO Holder, Early AUTO Holder, Early SMTY Holder, Early PLSPAD Holder, Early REEF Holder, Early BBANK Holder, Early ADAPAD Holder, Early WSG Holder, Early BELT Holder, Early EQX Holder, Early KATA Holder, Contract Deployer, congtubaclieu.eth Owner, congtubaclieu.eth Manager, Early UNI Holder, Early PICKLE Holder, Early ADEL Holder, Early VALUE Holder, Early SUSHI Holder, Early XSUSHI Holder, Tokenized ETH2 Staker, Early XGT Holder
0x3c28cf138b494ce468a59cc29662f07ded8ce05a			Tokenized ETH2 Staker
0x843b8d8fa00ec12a5a354c999e5c7a9425c33a56			Tokenized ETH2 Staker
0x2079c29be9c8095042edb95f293b5b510203d6ce	@luggisdoteth	https://twitter.com/luggisdoteth	Individual, Individual, Early ACRE Holder, Individual, Early ANIME Holder, Individual, Individual, "luggis" on OpenSea, luggis.eth, Contract Deployer, Tornado Cash Recipient, sudoswap Pool Deployer, luggis.eth Manager, mint.luggis.eth Manager, vault.luggis.eth Prev. Manager, sign.luggis.eth Prev. Manager, 0xr4ng3r.eth Prev. Owner, luggis.eth Owner, 0xr4ng3r.eth Manager, Early SUDO Holder, Early BAL Holder, Early MIR Holder, Early BADGER Holder, Early GHST Holder, Early DHT Holder, Early APY Holder, Early GEAR Holder, Early UNI Holder, Early ENS Holder, Early ILV Holder, Early SOS Holder, Early AAVE Holder, Early TOKE Holder, Early GAS Holder, Early YFI Holder, Early 1INCH Holder, Early MTA Holder, Early SUSHI Holder, Early CRV Holder, Early SDT Holder, Snapshot Delegator to 0x7BAFC0D5c5892f2041FD9F2415A7611042218e22, Compound Governance Delegator, Aave Governance Voter, BLUR Airdrop Recipient, Tokenized ETH2 Staker, Individual, Individual, Individual, Individual, Individual
0x7282239e06c76bae8de48608e360ddb3b4f4f822			Tokenized ETH2 Staker, Contract Deployer
0x17fc9786b2f98de35f5447ce70d49e4067ebefb0			OpenSea User, Tokenized ETH2 Staker
0xfd3a14471c6bc9244dc7d0b55706f64922b3044e			Early ANIME Holder, cognitiveillusions.eth, Contract Deployer, Beacon Depositor, cognitiveillusions.eth Owner, Early STG Holder, Tokenized ETH2 Staker
0x8e7b37e30e819427b4dc468aae4b5ac92e6485c4			Tokenized ETH2 Staker
0x8a83716acd66d9e1fb18c9b79540b72e04f80ac0			Contract Deployer, ERC20 Token Deployer, Early GFLY Holder, Contract Deployer, Early DUDE Holder, hashcreds.eth, "Gibbet" on OpenSea, ERC721 Token Deployer, MultiSig Deployer, Uniswap V2 Pool Deployer, Uniswap V3 Pool Deployer, Contract Deployer, Tornado Cash Depositor, Tornado Cash Recipient, ERC20 Token Deployer, hashcreds.eth Manager, metaagents.eth Prev. Owner, manhattanfinance.eth Prev. Owner, happybunnies.eth Prev. Owner, metaagents.eth Prev. Manager, manhattanfinance.eth Prev. Manager, hashcreds.eth Owner, gary-gone.eth Owner, garygone-gg.eth Owner, hashcred.eth Owner, happybunnies.eth Manager, gary-gone.eth Manager, garygone-gg.eth Manager, alem.asksfor.eth Manager, hashcred.eth Manager, lars.wantsome.eth Manager, Early SWRV Holder, Early UNI Holder, Early TRIBE Holder, Early CRV Holder, Early GAS Holder, Early SAKE Holder, Early MPL Holder, Early SDT Holder, Early CVX Holder, Early KNC Holder, Early SUSHI Holder, Early OCEAN Holder, Early AGLD Holder, Early CVP Holder, Early PICKLE Holder, Early SASHIMI Holder, Early HOP Holder, Early DAI Holder, Early APX Holder, Early RFOX Holder, Early YVE-CRVDAO Holder, Early FEI Holder, Early BAL Holder, Early SOS Holder, Early KP3R Holder, Early SUDO Holder, Early MAGIC Holder, Early MOG Holder, Early SNX Holder, Early FARM Holder, Early EDEN Holder, TrueFi Governance Delegator, MakerDAO Governance Delegator, Snapshot Delegator to 0x947B7742C403f20e5FaCcDAc5E092C943E7D0277, BLUR Airdrop Recipient, Tokenized ETH2 Staker, Optimism Governance Delegator
