Address	Arkham - Entity	Arkham - Twitter	Arkham - Tags
0xc055de577ce2039e6d35621e3a885df9bb304ab9			OpenSea User, Contract Deployer
0x3cf4db4c59dcb082d1a9719c54df3c04db93c6b7			
0xa7c82885072badcf3d0277641d55762e65318654			
0x6e3fddab68bf1ebaf9dacf9f7907c7bc0951d1dc			MultiSig / Contract Wallet, Gnosis Proxy, Early ANIME Holder, MultiSig / Contract Wallet, originswap.eth Prev. Owner, originstrategist.eth Prev. Owner, originstaking.eth Prev. Owner, originvault.eth Prev. Owner, originoracle.eth Prev. Owner, origingovernor.eth Prev. Owner, origintimelock.eth Prev. Owner, originether.eth Owner, xogn.eth Owner, ogn.eth Owner, primestaked.eth Owner, ousd.eth Owner, woeth.eth Owner, wousd.eth Owner, originsupport.eth Owner, originprotocoltoken.eth Owner, ogvstaking.eth Owner, originflipper.eth Owner, claimveogv.eth Owner, originstore.eth Owner, veogv.eth Owner, originid.eth Owner, originteam.eth Owner, ognstaking.eth Owner, stakeogn.eth Owner, origintoken.eth Owner, stakeogv.eth Owner, originharvester.eth Owner, originmarketplace.eth Owner, origindripper.eth Owner, worigineth.eth Owner, origineth.eth Owner, originprotocol.eth Owner, originsale.eth Owner, ogv.eth Owner, claimogv.eth Owner, originmarket.eth Owner, origindollar.eth Owner, originbuyback.eth Owner, originarbitration.eth Owner, ogv.eth Manager, originarbitration.eth Manager, originid.eth Manager, originsale.eth Manager, originharvester.eth Manager, originflipper.eth Manager, originprotocoltoken.eth Manager, origindollar.eth Manager, originstore.eth Manager, originsupport.eth Manager, veogv.eth Manager, ousd.eth Manager, originmarketplace.eth Manager, wousd.eth Manager, origindripper.eth Manager, origintoken.eth Manager, originprotocol.eth Manager, worigineth.eth Manager, woeth.eth Manager, origineth.eth Manager, originmarket.eth Manager, Early PRIMEETH Holder, Gnosis Proxy, Tokenized ETH2 Staker
0xf41f7febd6574fe0b08b999598df44f6b3e95006	Ondo Finance	https://twitter.com/OndoFinance	Tokenized ETH2 Staker
0x86d888c3fa8a7f67452ef2eccc1c5ee9751ec8d6			Contract Deployer, Tokenized ETH2 Staker
0xeadb3840596cabf312f2bc88a4bb0b93a4e1ff5f			Tornado Cash Depositor, Contract Deployer, Tokenized ETH2 Staker
0x8e02247d3ee0e6153495c971ffd45aa131f4d7cb			Contract Deployer, Early OUSD Holder, Early 1INCH Holder, Early SWRV Holder, Early UNI Holder, Snapshot Delegator to 0xC1aa82499Da8d37383F1E6d95De417ecF7514e7C, Tokenized ETH2 Staker
0xfd3a14471c6bc9244dc7d0b55706f64922b3044e			Early ANIME Holder, cognitiveillusions.eth, Beacon Depositor, Contract Deployer, cognitiveillusions.eth Owner, Early STG Holder, Tokenized ETH2 Staker
0x0dfb160a2adc3a33690259340e9f2c94b5a44154			
