Address	Arkham - Entity	Arkham - Twitter	Arkham - Tags
0xc1036d6bba2fe24c65823110b348ee80d3386acd	Renzo Protocol	https://twitter.com/RenzoProtocol	Liquid Staking, Liquid Staking, Liquid Staking, Liquid Staking, Liquid Staking, EIP-1967 Transparent Proxy, Liquid Staking, Liquid Staking, Liquid Staking, Liquid Staking, Liquid Staking
0x22e12a50e3ca49fb183074235cb1db84fe4c716d	Pendle Finance	https://twitter.com/pendle_fi	Yield, Yield, Yield, Yield, Yield, ERC20 Token, SY Renzo ezETH (SY-EZETH), Yield, Yield, Yield, Yield, Yield
0x7a493be5c2ce014cd049bf178a1ac0db1b434744	Pendle Finance	https://twitter.com/pendle_fi	Yield, Yield, Yield, Yield, Yield, ERC20 Token, EIP-1967 Transparent Proxy, Yield, Yield, Yield, Yield, Yield
0x22162dbba43fe0477cdc5234e248264ec7c6ea7c			Tokenized ETH2 Staker
0xf2e4ee37f4df6a2f1048744e4bde06e108a1615d			2024.qklpj.eth, 2024.qklpj.eth Manager, Tokenized ETH2 Staker
0xc5c75caf067ae899a7ec10b86b5ab38c13879388			MultiSig / Contract Wallet, Gnosis Proxy, Tokenized ETH2 Staker
0xe4c8f205aa7a53a3479429913be832294d47297a			kamisatoayaka.eth, OpenSea User, MultiSig Deployer, Contract Deployer, kamisatoayaka.eth Manager, kamisatoayaka.eth Owner
0x64b6ebe0a55244f09dfb1e46fe59b74ab94f8be1	Jianhuai Xie		Uniswap Governance Delegator, Tokenized ETH2 Staker
0x3a0ee670ee34d889b52963bd20728dece4d9f8fe			
0x418aa6bf98a2b2bc93779f810330d88cde488888			Contract Deployer, Early EPS Holder, Early WSG Holder, OpenSea User, 58bro.eth, Contract Deployer, 58bro.eth Owner, Tokenized ETH2 Staker
0x267ed5f71ee47d3e45bb1569aa37889a2d10f91e			
0xa3fb9fed3fe24baaafcbe783409bedaeff28d0a7			Tokenized ETH2 Staker
0xa30965a445963ab0d016c86df1a905c2f58b379f			Tokenized ETH2 Staker
0xf929122994e177079c924631ba13fb280f5cd1f9			Early ACRE Holder, Early EPS Holder, Input Data Messenger, Contract Deployer, Early AAVE Holder, Early XSUSHI Holder, Early RAI Holder, Early SAKE Holder, Early CRV Holder, Early UNI Holder, Early FEI Holder, Early TRIBE Holder, Early LON Holder, Early 1INCH Holder, Early SUSHI Holder, Early SWRV Holder, Early GAS Holder, Early GOF Holder, Early BDP Holder, Early BALPHA Holder, Early PICKLE Holder, Early SASHIMI Holder, Tokenized ETH2 Staker, Optimism Governance Delegator
0x34669322bdfca9e801ca334e7b0e6d69d1f87137			
0x8877ad0e9e276a5aceb8c3a2bdaf097fcdf3e8d1			OpenSea User, Contract Deployer
0x0db87155511f190034a2b73d98f699bfebfbd85f	Christian Tom (NGVP)	https://twitter.com/Christianeth	Individual, Contract Deployer, Arbitrum Treasury Governance Delegator, PL Arb Grants Safety Governance Delegator, Questbook ARB DAO GRANTS Governance Delegator, Arbitrum Core Governance Delegator, Individual, Individual, Individual, Individual, OpenSea User, Contract Deployer, Tokenized ETH2 Staker, Individual, Individual, Individual, Individual, Individual
0x29f402d5ef60ddf2386fe93730ae6fa03a8de4a6			
0xaca98383f1262afba2b9702d763f6b3fa7288887			Validator, Contract Deployer, MEV Fee Recipient
0x427bba37b4e6486b2de3b4678844edf1909ea56b			MultiSig / Contract Wallet, Gnosis Proxy
0xb0449ec1a8a60f95322617d6ed52e1ba1a7beb49			Contract Deployer, Early ACRE Holder, Early STG Holder, Contract Deployer, Early GEAR Holder, Tokenized ETH2 Staker, Contract Deployer, Early STG Holder
0xcc193a69d258758d39e3202aa2ebb0951d672f59			
0xdad36a77358ce31324b9c51687fee6ace5ac60ef			Tokenized ETH2 Staker
0x2ea0963ff33e420ad67cd736d1f44cac2fd4adee			Tokenized ETH2 Staker
0xcea292daa1d95c83da4814b9ad07dae391950fc0			
0x6e659c99f5bc322f433e66dd2471bd3aae5c4f5d			
0x6e14daf074d36c6de61d5074064a47170ce91ef2			Tokenized ETH2 Staker
0x000e7bbb912eaeb56f0518ae1ceace2f08ba592c			
0xd831a41f1ac70a35f6fe5bd5a70d3613c203c012			Early FLX Holder, Early GF Holder, Tokenized ETH2 Staker
0x160f6ef9fcdde6ff3febc7a57edbfd476a8aab5b			Tokenized ETH2 Staker
