Address	Arkham - Entity	Arkham - Twitter	Arkham - Tags
0x5ed5dd65ab0dc1bccc44eedaa40680c231faaa9f			Tokenized ETH2 Staker
0x2dd568028682ff2961cc341a4849f1b32f371064			
0x9dbc5e35a2f1a6dc214bdb7ed7a8c706d77f0a74			Tokenized ETH2 Staker, Early KIMBO Holder, Early TWT Holder, OpenSea User, Uniswap V3 Pool Deployer, Contract Deployer, Early PEPES Holder, Early FOUR Holder, Early RIBBIT Holder, Nouns Dao Governance Voter, Tokenized ETH2 Staker, Contract Deployer, Contract Deployer
0xe0eb63b4e18ff1e646ab7e37510e6eaf287ade3d			MultiSig / Contract Wallet, Early VETH Holder, Gnosis Proxy, Tokenized ETH2 Staker
0x6733f0283711f225a447e759d859a70b0c0fd2bc			ERC20 Token, Staked vETH (SVETH)
0x5cd58271c89fccaf6e2021dc9a1ba94e6dbdb70c			
0x00000000009e50a7ddb7a7b0e2ee6604fd120e49			MEV, Tokenized ETH2 Staker
0x4f942119e6ab0a6e4368e795d1d64291a3ff0da4	@WeeklyChain	https://twitter.com/WeeklyChain	Individual, Contract Deployer, MultiSig Deployer, Individual, Early YUSD Holder, Individual, Contract Deployer, Early ANIME Holder, Individual, Early EPS Holder, Early WSG Holder, Individual, incremental.eth, "ENSoooor" on OpenSea, MultiSig Deployer, Uniswap V3 Pool Deployer, sudoswap Pool Deployer, Contract Deployer, ERC20 Token Deployer, kadita.eth Manager, morata.eth Manager, faramis.eth Manager, yisunshin.eth Manager, 5710.eth Manager, strangesupreme.eth Manager, chang’e.eth Manager, nicmyers.eth Manager, floatbank.eth Manager, yuzuhausagi.eth Manager, louiseallen.eth Manager, 0xtriumph.eth Manager, nairu.eth Manager, phoveus.eth Manager, fullstack.eth Manager, kleio.eth Manager, cecilion.eth Manager, irithel.eth Manager, degencrypto.eth Manager, incremental.eth Manager, tesserract.eth Manager, khufra.eth Manager, fredrinn.eth Manager, arbitrageur.eth Manager, leomord.eth Manager, centralised.eth Manager, ryoheiarisu.eth Manager, belerick.eth Manager, trf.eth Manager, faramis.eth Prev. Owner, phoveus.eth Prev. Owner, chang’e.eth Prev. Owner, irithel.eth Prev. Owner, minsitthar.eth Prev. Owner, yisunshin.eth Prev. Owner, khufra.eth Prev. Owner, kadita.eth Prev. Owner, leomord.eth Prev. Owner, cecilion.eth Prev. Owner, belerick.eth Prev. Owner, fredrinn.eth Prev. Owner, barats.eth Prev. Owner, strangesupreme.eth Prev. Owner, yuzuhausagi.eth Prev. Owner, ryoheiarisu.eth Prev. Owner, mirakano.eth Prev. Owner, trf.eth Prev. Owner, takiyagenji.eth Prev. Owner, nairu.eth Prev. Owner, diccdao.eth Prev. Owner, rudi.eth Prev. Owner, 0xtriumph.eth Prev. Owner, hotstart.eth Prev. Owner, rudi.eth Prev. Manager, usmarket.eth Owner, wesend.eth Owner, shitmoney.eth Owner, dev.cmiiw.eth Owner, poordev.eth Owner, rundown.eth Owner, redeploy.eth Owner, hawkish.eth Owner, pricey.eth Owner, clunk.eth Owner, cmiiw.eth Owner, zakat.eth Owner, morata.eth Owner, degencrypto.eth Owner, 5710.eth Owner, floatbank.eth Owner, tesserract.eth Owner, arbitrageur.eth Owner, getstar.eth Owner, transcrypts.eth Owner, nicmyers.eth Owner, 0xkleio.eth Owner, incremental.eth Owner, louiseallen.eth Owner, algorithmic.eth Owner, centralised.eth Owner, kleio.eth Owner, fullstack.eth Owner, zakat.eth Manager, barats.eth Manager, diccdao.eth Manager, 0xkleio.eth Manager, mirakano.eth Manager, algorithmic.eth Manager, minsitthar.eth Manager, Early ILV Holder, Early UNI Holder, Early BDP Holder, Early PAID Holder, Early KISHU Holder, Early BOTTO Holder, Early CVX Holder, Early GAS Holder, Early TIDAL Holder, Early PSP Holder, Early XDEFI Holder, Early SOS Holder, Early FEI Holder, Early TRIBE Holder, Early GEAR Holder, Early X2Y2 Holder, Early BALPHA Holder, Early ENS Holder, Early STRDY Holder, Early VETH Holder, Early XTK Holder, Early HOP Holder, Early APW Holder, Early RADAR Holder, Snapshot Delegator to 0xEDF7b675a2fE3c27efb263fb4c204A3f0fb17D46, Indexed Finance Governance Delegator, BLUR Airdrop Recipient, Tokenized ETH2 Staker, Individual, Individual, Individual, Individual, Contract Deployer, Individual, Contract Deployer, Early RAIDER Holder
0x2bb8eda6d050052c2a581cc6ca96734819fc7751			Tokenized ETH2 Staker
0xa2165d02555975f5e88c5579e4ceaf6aca77eb8d			
